geography,geography_id,state_name,district_name,area,perimeter,max_distance_from_center,id
state,56.0,Wyoming,,27.96045768,0.317967527,0.057227792,1
district,5600.0,Wyoming,0.0,28.1535984,0.320225409,0.057455071,2
state,55.0,Wisconsin,,16.45264398,0.307086359,0.046647314,3
district,5501.0,Wisconsin,1.0,0.761922865,0.077168852,0.013549042,4
district,5508.0,Wisconsin,8.0,2.923923419,0.159522914,0.022024113,5
district,5502.0,Wisconsin,2.0,1.32606409,0.09115385,0.013702598,6
district,5505.0,Wisconsin,5.0,0.557960549,0.066469888,0.008657997,7
district,5507.0,Wisconsin,7.0,7.798159229,0.289830109,0.032437165,8
district,5506.0,Wisconsin,6.0,2.256255866,0.149672755,0.020031407,9
district,5503.0,Wisconsin,3.0,3.318096047,0.246175302,0.02794596,10
district,5504.0,Wisconsin,4.0,0.312896735,0.041380543,0.007359414,11
state,54.0,West Virginia,,6.495184252,0.256384317,0.041209448,12
district,5403.0,West Virginia,3.0,2.605618592,0.227219885,0.02468132,13
district,5402.0,West Virginia,2.0,2.172353186,0.28986184,0.034796875,14
district,5401.0,West Virginia,1.0,1.706484714,0.214108172,0.022285953,15
state,53.0,Washington,,20.81858628,0.479012646,0.053213662,16
district,5308.0,Washington,8.0,2.316053909,0.187268257,0.020240793,17
district,5304.0,Washington,4.0,6.005763116,0.276472204,0.032573438,18
district,5301.0,Washington,1.0,2.088605023,0.156223566,0.021801197,19
district,5307.0,Washington,7.0,0.076794902,0.031343758,0.004835794,20
district,5302.0,Washington,2.0,0.648971007,0.079793661,0.011142536,21
district,5305.0,Washington,5.0,4.892159772,0.181232694,0.030132117,22
district,5303.0,Washington,3.0,2.881431269,0.180540133,0.029770379,23
district,5306.0,Washington,6.0,2.760444532,0.138495135,0.019976001,24
district,5309.0,Washington,9.0,0.072468429,0.029672551,0.004327151,25
district,5310.0,Washington,10.0,0.283384006,0.058016974,0.007403391,26
state,51.0,Virginia,,10.52166333,0.476750068,0.069043233,27
district,5111.0,Virginia,11.0,0.051917681,0.038585983,0.004340321,28
district,5109.0,Virginia,9.0,2.405364681,0.221361548,0.033246555,29
district,5101.0,Virginia,1.0,1.197042473,0.144619759,0.019375342,30
district,5103.0,Virginia,3.0,0.306407025,0.10587466,0.012105304,31
