"","district","compactness"
"1","AK-0",0.0463
"2","AL-1",0.1824
"3","AL-2",0.2881
"4","AL-3",0.3243
"5","AL-4",0.2621
"6","AL-5",0.2962
"7","AL-6",0.2105
"8","AL-7",0.2099
"9","AR-1",0.2142
"10","AR-2",0.3429
"11","AR-3",0.1746
"12","AR-4",0.357
"13","AZ-1",0.2731
"14","AZ-2",0.539
"15","AZ-3",0.2852
"16","AZ-4",0.1741
"17","AZ-5",0.6992
"18","AZ-6",0.6072
"19","AZ-7",0.6637
"20","AZ-8",0.3466
"21","AZ-9",0.3234
"22","CA-1",0.3767
"23","CA-2",0.2389
"24","CA-3",0.2418
"25","CA-4",0.4023
"26","CA-5",0.3077
"27","CA-6",0.3416
"28","CA-7",0.6452
"29","CA-8",0.352
"30","CA-9",0.5414
"31","CA-10",0.4371
"32","CA-11",0.3535
"33","CA-12",0.7704
"34","CA-13",0.6463
"35","CA-14",0.3957
"36","CA-15",0.4374
"37","CA-16",0.3785
"38","CA-17",0.6285
"39","CA-18",0.4726
"40","CA-19",0.4055
"41","CA-20",0.4493
"42","CA-21",0.2659
"43","CA-22",0.2568
"44","CA-23",0.2497
"45","CA-24",0.2134
"46","CA-25",0.314
"47","CA-26",0.2617
"48","CA-27",0.5045
"49","CA-28",0.4079
"50","CA-29",0.4236
"51","CA-30",0.3909
"52","CA-31",0.2236
"53","CA-32",0.4686
"54","CA-33",0.1833
"55","CA-34",0.5242
"56","CA-35",0.3507
"57","CA-36",0.4073
"58","CA-37",0.6306
"59","CA-38",0.3955
"60","CA-39",0.4702
"61","CA-40",0.4787
"62","CA-41",0.4647
"63","CA-42",0.2262
"64","CA-43",0.5595
"65","CA-44",0.5149
"66","CA-45",0.6038
"67","CA-46",0.6145
"68","CA-47",0.1484
"69","CA-48",0.3334
"70","CA-49",0.3605
"71","CA-50",0.4002
"72","CA-51",0.2933
"73","CA-52",0.3001
"74","CA-53",0.4782
"75","CO-1",0.2328
"76","CO-2",0.3407
"77","CO-3",0.3911
"78","CO-4",0.4032
"79","CO-5",0.4504
"80","CO-6",0.1838
"81","CO-7",0.3278
