"","STATEFP","State","SLDLST","GEOID","NAMELSAD","Area","Perimeter","Polsby.Popper","Schwartzberg.Radius","Schwartzberg.Perimeter","Schwartzberg","Convex.Hull.Area","Area.Convex.Hull","MBC.Area","Reock"
"1",2,"AK","001","02001","State House District 1",21445809.9241,27001.8108828,36.9629110584,2612.74167917,16416.3262637,60.7971307367,27109784.0569,79.1072694607,43544790.263,49.25000165
"2",2,"AK","002","02002","State House District 2",91492381.6942,54084.315575,39.3053577919,5396.56874346,33907.6127975,62.6939851915,116893749.976,78.2696950975,197428189.872,46.34210634
"3",2,"AK","003","02003","State House District 3",156149072.331,99124.2582422,19.9705030496,7050.09471032,44297.014082,44.6883687884,203011921.557,76.9162082371,496655042.113,31.4401464
"4",2,"AK","004","02004","State House District 4",2085572114.76,217000.841414,55.6559849617,25765.4571707,161889.005186,74.6029389246,2300713992.28,90.648908198,3890800592.39,53.6026472
"5",2,"AK","005","02005","State House District 5",3649737569.28,338686.848827,39.9829163679,34084.4323932,214158.623924,63.2320459639,4029855339.82,90.5674586682,8828199945.45,41.34180911
"6",2,"AK","006","02006","State House District 6",317544711233,4804506.09494,17.2868906068,317927.20278,1997593.84196,41.5775066674,423026249207,75.0650135372,684815145487,46.36940543
"7",2,"AK","007","02007","State House District 7",74597391.687,57286.1532862,28.5649730229,4872.89516757,30617.277459,53.4462094287,101087663.203,73.7947533095,292403136.288,25.51183022
"8",2,"AK","008","02008","State House District 8",1828753476.71,231698.225845,42.8074388842,24126.9725145,151594.111164,65.4273940213,2078400755.81,87.9884917092,3643626228.88,50.19047953
"9",2,"AK","009","02009","State House District 9",67562873970.8,1875340.01677,24.1411286605,146649.067127,921422.485591,49.1336225618,87774425641.8,76.9733022766,181086339889,37.30975733
"10",2,"AK","010","02010","State House District 10",31571061436.6,1010073.73231,38.8859332474,100246.643141,629867.703251,62.3585866163,39594687987,79.7355984898,67275372440.9,46.92811097
"11",2,"AK","011","02011","State House District 11",154493410.977,74744.4939238,34.750499186,7012.61874068,44061.5458191,58.9495540153,209185143.616,73.8548676576,536927745.246,28.77359428
"12",2,"AK","012","02012","State House District 12",2532011384.01,276512.298391,41.6146500541,28389.5215921,178376.474277,64.509417959,3059639834.29,82.7552104543,4955730174.19,51.09259978
"13",2,"AK","013","02013","State House District 13",250036500.339,88822.5260729,39.8259980834,8921.27553609,56053.9800228,63.1078426849,298091711.613,83.8790515127,635660276.89,39.33492613
"14",2,"AK","014","02014","State House District 14",862869531.876,142437.466423,53.4448855168,16572.8734527,104130.347021,73.1060089989,1010201509.19,85.4155853091,1610881040.25,53.56506845
"15",2,"AK","015","02015","State House District 15",80975326.837,50361.347051,40.1206103109,5076.93498487,31899.2963582,63.3408322575,102393457.624,79.0825202274,204759664.666,39.54652249
"16",2,"AK","016","02016","State House District 16",7709525.3267,14496.3646814,46.1019106686,1566.53126432,9842.7979094,67.8983878074,8993898.9455,85.7195013362,21116286.561,36.50985368
"17",2,"AK","017","02017","State House District 17",11475018.421,19040.3497099,39.7752618281,1911.18154365,12008.2976514,63.0676318154,15320293.9972,74.9007716373,24631457.157,46.5868436
"18",2,"AK","018","02018","State House District 18",10884988.1281,19421.0881096,36.2652219494,1861.39793133,11695.4982542,60.2206127082,13991707.5875,77.7959949494,27436287.602,39.67369159
"19",2,"AK","019","02019","State House District 19",6677807.7624,13649.3808414,45.0419834643,1457.94856707,9160.5532776,67.1133246561,8259641.3824,80.8486404342,15767621.418,42.35139585
"20",2,"AK","020","02020","State House District 20",24157358.7703,27290.9202515,40.7589122894,2773.00065196,17423.2622364,63.8427069364,30833141.5783,78.3486778632,54240778.785,44.53726387
"21",2,"AK","021","02021","State House District 21",287266936.762,83280.61225,52.0483926168,9562.42559088,60082.4412241,72.1445719488,333372332.355,86.1699993916,644735020.544,44.55581403
"22",2,"AK","022","02022","State House District 22",27451627.8076,33255.7185758,31.1921224139,2956.03313645,18573.2882823,55.8499081593,41152853.849,66.7064984322,99741611.52,27.52274341
"23",2,"AK","023","02023","State House District 23",16051199.1983,20171.6681052,49.571647624,2260.36716166,14202.2937428,70.4071357348,19111037.1141,83.9891582151,37710968.29,42.56374187
"24",2,"AK","024","02024","State House District 24",80395388.4402,39954.4543387,63.2863760338,5058.7220283,31784.8610738,79.5527347323,83521875.231,96.2566851114,164990019.151,48.72742536
"25",2,"AK","025","02025","State House District 25",25164816.268,24308.2595828,53.5174645683,2830.23259964,17782.8608654,73.1556317507,30614129.706,82.2000053886,53787860.745,46.78530791
"26",2,"AK","026","02026","State House District 26",20438118.2517,21320.6816138,56.4999723352,2550.61964817,16026.002361,75.1664634897,22355293.8537,91.4240644093,39052139.792,52.33546321
"27",2,"AK","027","02027","State House District 27",17938267.2361,22049.8027766,46.3639648864,2389.5465313,15013.9509745,68.091089642,24832522.1441,72.2369928113,45937044.906,39.04967608
"28",2,"AK","028","02028","State House District 28",1758235614.97,239282.98738,38.5889468246,23657.2240809,148642.597201,62.1200022737,2421526794.07,72.6085550354,4961550277.14,35.43722258
"29",2,"AK","029","02029","State House District 29",10031024426.9,588723.756639,36.3690253721,56506.4327367,355040.088043,60.3067370799,12908374423.6,77.7094318597,21842981447.8,45.92332988
"30",2,"AK","030","02030","State House District 30",499433718.586,119311.882389,44.0879557073,12608.5218959,79221.6126059,66.3987618162,621542297.408,80.3539390109,1330658703.09,37.5328187
"31",2,"AK","031","02031","State House District 31",9548995096.42,492514.139534,49.4686161287,55132.0424953,346404.546766,70.333929315,10796684040.4,88.4437764474,20120914188.2,47.45805786
"32",2,"AK","032","02032","State House District 32",131855880333,5328525.28426,5.83572661069,204868.410725,1287225.1009,24.1572486238,409490436461,32.1999901811,1129692547450,11.67183767
"33",2,"AK","033","02033","State House District 33",25854994260.8,1211705.37436,22.1289024645,90718.8361474,570002.776905,47.0413673956,35336842236.8,73.1672459229,66439768570.6,38.91493727
"34",2,"AK","034","02034","State House District 34",2429884511.66,349451.81069,25.0046361713,27811.093392,174742.105779,50.0046359565,3188339768.86,76.2115924843,5648207225.59,43.02045613
"35",2,"AK","035","02035","State House District 35",52732574612.4,1335090.32747,37.1763864476,129558.149111,814037.171331,60.9724416829,65406510754.4,80.622821802,136187387544,38.72060076
"36",2,"AK","036","02036","State House District 36",37220798364.4,1008538.46203,45.9843710551,108847.407403,683907.853246,67.8117770411,44744247060.1,83.1856625376,61847118062.9,60.18194466
"37",2,"AK","037","02037","State House District 37",329265852457,10183885.2267,3.98959855673,323741.663287,2034127.14393,19.9739794651,1618121221870,20.3486517578,4411565772140,7.463695873
"38",2,"AK","038","02038","State House District 38",91651563333.8,2787152.36173,14.8261351161,170802.878592,1073185.23071,38.5047206405,211202230135,43.3951683537,590956885417,15.50901015
"39",2,"AK","039","02039","State House District 39",191602382393,5077285.93388,9.34000606222,246959.478553,1551690.85645,30.5614234979,378077296966,50.6780978204,710615210048,26.96288789
"40",2,"AK","040","02040","State House District 40",409882600693,3894277.45167,33.9637159647,361206.027328,2269522.48679,58.2783973396,480836338486,85.2436822857,920820354830,44.51276501
"41",1,"AL","001","01001","State House District 1",538170696.104,163129.696891,25.4134417146,13088.3611548,82236.5290406,50.4117463637,691236240.849,77.8562616224,1529225956.06,35.19235951
"42",1,"AL","002","01002","State House District 2",997263794.967,208563.493299,28.8099805446,17816.8233196,111946.307945,53.674929478,1443365506.33,69.0929491243,2533344083.9,39.36550906
"43",1,"AL","003","01003","State House District 3",900843518.34,206697.355249,26.4965308289,16933.6245381,106397.011025,51.4747810376,1290239139.94,69.8198876824,2778917461.16,32.41706639
"44",1,"AL","004","01004","State House District 4",868630344.117,286155.84629,13.3302792544,16628.1045076,104477.37368,36.5106549576,1376098653.3,63.1226796156,2541902652.23,34.17244729
"45",1,"AL","005","01005","State House District 5",615601705.616,143783.781412,37.4187701622,13998.2954092,87953.8097492,61.1708837294,743863078.342,82.757394948,1193495158.28,51.57974051
"46",1,"AL","006","01006","State House District 6",399023516.62,185282.745734,14.6062265677,11270.0149709,70811.5326649,38.218093317,677618596.482,58.8861519875,1144868955.63,34.85320435
"47",1,"AL","007","01007","State House District 7",2004146866.18,332397.119989,22.7942095598,25257.4800745,158697.293654,47.7432817887,2752687025.3,72.8069282036,4350893751.61,46.06287767
"48",1,"AL","008","01008","State House District 8",215614725.222,102942.683366,25.5680110424,8284.46477548,52052.783388,50.5648208168,250569464.813,86.0498805722,538700956.413,40.02493826
"49",1,"AL","009","01009","State House District 9",978096471.674,302178.761914,13.4605657733,17644.7737178,110865.289328,36.6886437107,1623949026.73,60.2295057034,3062859525.96,31.93409503
"50",1,"AL","010","01010","State House District 10",364824641.453,142947.587387,22.4357195024,10776.2418396,67709.0672017,47.3663588448,527595438.347,69.1485587131,979901628.757,37.23074141
