LSAD,Geog,GEOID_1,STATE,DIST_NAME,Schwartzbe,AreaDist,AreaConPol,Ratio
C2,district,1311,Georgia,11,34.68319353,1101.261155,1452.221285,0.758328752
C2,district,2603,Michigan,3,33.3286735,2703.854333,3629.263572,0.745014596
C2,district,3625,New York,25,47.53587168,518.7440907,602.1168191,0.861533965
C2,district,3607,New York,7,18.47725516,28.29558765,41.39332574,0.683578503
C2,district,3609,New York,9,30.25205726,19.98029189,20.64880569,0.967624578
C2,district,3605,New York,5,33.13023732,57.47712773,64.72995668,0.887952514
C2,district,610,California,10,31.39989756,1845.171491,2399.444894,0.768999319
C2,district,1704,Illinois,4,16.72025898,60.5550081,132.4244376,0.457279708
C2,district,2901,Missouri,1,34.17222604,234.6552984,311.115197,0.754239268
C2,district,3713,North Carolina,13,15.17310529,1876.515023,2866.741031,0.654581283
C2,district,3406,New Jersey,6,22.51946831,232.4592771,485.4668934,0.478836519
C2,district,653,California,53,27.69392637,127.2907336,160.6244863,0.792474028
C2,district,4202,Pennsylvania,2,41.47418566,66.70613502,77.60245524,0.859587945
C2,district,407,Arizona,7,39.46579683,205.7033171,226.7167423,0.907314189
C2,district,1307,Georgia,7,31.86898112,404.9878953,529.6103095,0.764690354
C2,district,4818,Texas,18,20.28083355,232.3430104,363.2693844,0.639588747
C2,district,1224,Florida,24,29.68248829,136.4136549,143.5019545,0.950604857
C2,district,2609,Michigan,9,35.75947855,186.8141543,268.7122956,0.695219971
C2,district,5108,Virginia,8,33.02423908,163.794102,187.220655,0.874871963
C2,district,409,Arizona,9,22.74304669,177.5049054,282.8035904,0.627661428
C2,district,1701,Illinois,1,24.38726207,244.7647242,395.9327325,0.61819775
C2,district,2613,Michigan,13,28.34174735,205.3026886,310.3066319,0.661612313
C2,district,3916,Ohio,16,23.98755969,1228.150354,2134.937451,0.575262921
C2,district,1711,Illinois,11,23.73570699,271.403012,508.8825295,0.533331361
C2,district,3704,North Carolina,4,13.35855616,735.0461216,1231.09164,0.597068567
C2,district,1210,Florida,10,27.23528422,524.4025928,579.111591,0.905529437
C2,district,1222,Florida,22,22.3469682,180.4749814,247.022396,0.730601696
C2,district,4807,Texas,7,24.92763139,164.7674184,288.1261992,0.571858508
C2,district,4830,Texas,30,28.33010377,365.4821395,481.1349213,0.759625052
C2,district,4820,Texas,20,24.94280339,195.1448852,277.3594377,0.703581197
C2,district,4826,Texas,26,45.39273613,978.7277736,1064.880396,0.919096433
C2,district,405,Arizona,5,50.76470262,305.7463338,329.7685626,0.927154279
C2,district,4705,Tennessee,5,31.96266832,1274.974212,1604.211447,0.794766933
C2,district,4709,Tennessee,9,27.7467067,512.2449082,738.3655074,0.693755197
C2,district,1709,Illinois,9,27.41510989,102.8127752,168.6965381,0.609453972
C2,district,643,California,43,35.18988325,65.0945044,73.38254472,0.88705706
C2,district,619,California,19,29.23163313,933.0474667,1162.027949,0.802947526
C2,district,641,California,41,29.88182007,331.7078452,415.7092152,0.797932384
C2,district,646,California,46,41.21048379,74.04747263,86.41296893,0.856902309
