"","geography","geography_id","state_name","district_name","area","perimeter","max_distance_from_center","Schwartzberg","Redistrict","Gov_Veto","Notes","Geog","AreaDist","AreaConPol","ConvexHull","Upper_Senate","Lower_House","Governor","Overall"
"1","district",5600,"Wyoming",0,28.1535984,0.320225409,0.057455071,0.587375866405236,NA,NA,NA,"district",97818.74471,97731.89145,1.000888689,"Republican","Republican","Republican","Republican"
"2","district",5501,"Wisconsin",1,0.761922865,0.077168852,0.013549042,0.400976015430002,"State Legislature","Yes",NA,"district",1769.143648,1993.090229,0.887638514,"Republican","Republican","Republican","Republican"
"3","district",5508,"Wisconsin",8,2.923923419,0.159522914,0.022024113,0.379983601422626,"State Legislature","Yes",NA,"district",7066.698604,10319.05062,0.684820616,"Republican","Republican","Republican","Republican"
"4","district",5502,"Wisconsin",2,1.32606409,0.09115385,0.013702598,0.447828957904857,"State Legislature","Yes",NA,"district",4610.708994,5240.392489,0.879840394,"Republican","Republican","Republican","Republican"
"5","district",5505,"Wisconsin",5,0.557960549,0.066469888,0.008657997,0.398365510714303,"State Legislature","Yes",NA,"district",1965.311588,2346.061569,0.83770674,"Republican","Republican","Republican","Republican"
"6","district",5507,"Wisconsin",7,7.798159229,0.289830109,0.032437165,0.34155250998639,"State Legislature","Yes",NA,"district",24032.00983,33236.17822,0.723067787,"Republican","Republican","Republican","Republican"
"7","district",5506,"Wisconsin",6,2.256255866,0.149672755,0.020031407,0.355759375007341,"State Legislature","Yes",NA,"district",5220.174832,7544.347953,0.691931876,"Republican","Republican","Republican","Republican"
"8","district",5503,"Wisconsin",3,3.318096047,0.246175302,0.02794596,0.262304009545467,"State Legislature","Yes",NA,"district",11413.26536,19388.41721,0.58866411,"Republican","Republican","Republican","Republican"
"9","district",5504,"Wisconsin",4,0.312896735,0.041380543,0.007359414,0.479191672843498,"State Legislature","Yes",NA,"district",124.3144737,183.1804043,0.678645045,"Republican","Republican","Republican","Republican"
"10","district",5403,"West Virginia",3,2.605618592,0.227219885,0.02468132,0.251833799872514,"State Legislature","Yes",NA,"district",9834.189171,14517.14224,0.677419082,"Republican","Republican","Republican","Republican"
"11","district",5402,"West Virginia",2,2.172353186,0.28986184,0.034796875,0.180251590241629,"State Legislature","Yes",NA,"district",8087.807958,15752.89259,0.513417324,"Republican","Republican","Republican","Republican"
"12","district",5401,"West Virginia",1,1.706484714,0.214108172,0.022285953,0.216283251341024,"State Legislature","Yes",NA,"district",6380.560881,13600.8816,0.469128478,"Republican","Republican","Republican","Republican"
"13","district",5308,"Washington",8,2.316053909,0.187268257,0.020240793,0.288081318232112,"Independent commission",NA,NA,"district",7502.840081,11304.0438,0.663730627,"Democrat","Democrat","Democrat","Democrat"
"14","district",5304,"Washington",4,6.005763116,0.276472204,0.032573438,0.314222700368051,"Independent commission",NA,NA,"district",19555.75243,29663.35568,0.659256244,"Democrat","Democrat","Democrat","Democrat"
"15","district",5301,"Washington",1,2.088605023,0.156223566,0.021801197,0.327934073831795,"Independent commission",NA,NA,"district",6369.291895,7992.933918,0.796865326,"Democrat","Democrat","Democrat","Democrat"
