STATEFP	State	SLDLST	GEOID	NAMELSAD	Area	Perimeter	ConvexHullArea	AreaOverConvex HullRatio	MBCArea
2	AK	1	2001	State House District 1	21445809.92	27001.81088	27109784.06	79.10726946	43544790.26
2	AK	2	2002	State House District 2	91492381.69	54084.31558	116893750	78.2696951	197428189.9
2	AK	3	2003	State House District 3	156149072.3	99124.25824	203011921.6	76.91620824	496655042.1
2	AK	4	2004	State House District 4	2085572115	217000.8414	2300713992	90.6489082	3890800592
2	AK	5	2005	State House District 5	3649737569	338686.8488	4029855340	90.56745867	8828199945
2	AK	6	2006	State House District 6	3.17545E+11	4804506.095	4.23026E+11	75.06501354	6.84815E+11
2	AK	7	2007	State House District 7	74597391.69	57286.15329	101087663.2	73.79475331	292403136.3
2	AK	8	2008	State House District 8	1828753477	231698.2258	2078400756	87.98849171	3643626229
2	AK	9	2009	State House District 9	67562873971	1875340.017	87774425642	76.97330228	1.81086E+11
2	AK	10	2010	State House District 10	31571061437	1010073.732	39594687987	79.73559849	67275372441
2	AK	11	2011	State House District 11	154493411	74744.49392	209185143.6	73.85486766	536927745.2
2	AK	12	2012	State House District 12	2532011384	276512.2984	3059639834	82.75521045	4955730174
2	AK	13	2013	State House District 13	250036500.3	88822.52607	298091711.6	83.87905151	635660276.9
2	AK	14	2014	State House District 14	862869531.9	142437.4664	1010201509	85.41558531	1610881040
2	AK	15	2015	State House District 15	80975326.84	50361.34705	102393457.6	79.08252023	204759664.7
2	AK	16	2016	State House District 16	7709525.327	14496.36468	8993898.946	85.71950134	21116286.56
2	AK	17	2017	State House District 17	11475018.42	19040.34971	15320294	74.90077164	24631457.16
2	AK	18	2018	State House District 18	10884988.13	19421.08811	13991707.59	77.79599495	27436287.6
2	AK	19	2019	State House District 19	6677807.762	13649.38084	8259641.382	80.84864043	15767621.42
2	AK	20	2020	State House District 20	24157358.77	27290.92025	30833141.58	78.34867786	54240778.79
2	AK	21	2021	State House District 21	287266936.8	83280.61225	333372332.4	86.16999939	644735020.5
2	AK	22	2022	State House District 22	27451627.81	33255.71858	41152853.85	66.70649843	99741611.52
2	AK	23	2023	State House District 23	16051199.2	20171.66811	19111037.11	83.98915822	37710968.29
2	AK	24	2024	State House District 24	80395388.44	39954.45434	83521875.23	96.25668511	164990019.2
2	AK	25	2025	State House District 25	25164816.27	24308.25958	30614129.71	82.20000539	53787860.75
2	AK	26	2026	State House District 26	20438118.25	21320.68161	22355293.85	91.42406441	39052139.79
2	AK	27	2027	State House District 27	17938267.24	22049.80278	24832522.14	72.23699281	45937044.91
2	AK	28	2028	State House District 28	1758235615	239282.9874	2421526794	72.60855504	4961550277
2	AK	29	2029	State House District 29	10031024427	588723.7566	12908374424	77.70943186	21842981448
2	AK	30	2030	State House District 30	499433718.6	119311.8824	621542297.4	80.35393901	1330658703
2	AK	31	2031	State House District 31	9548995096	492514.1395	10796684040	88.44377645	20120914188
2	AK	32	2032	State House District 32	1.31856E+11	5328525.284	4.0949E+11	32.19999018	1.12969E+12
2	AK	33	2033	State House District 33	25854994261	1211705.374	35336842237	73.16724592	66439768571
2	AK	34	2034	State House District 34	2429884512	349451.8107	3188339769	76.21159248	5648207226
2	AK	35	2035	State House District 35	52732574612	1335090.327	65406510754	80.6228218	1.36187E+11
2	AK	36	2036	State House District 36	37220798364	1008538.462	44744247060	83.18566254	61847118063
2	AK	37	2037	State House District 37	3.29266E+11	10183885.23	1.61812E+12	20.34865176	4.41157E+12
2	AK	38	2038	State House District 38	91651563334	2787152.362	2.11202E+11	43.39516835	5.90957E+11
2	AK	39	2039	State House District 39	1.91602E+11	5077285.934	3.78077E+11	50.67809782	7.10615E+11
2	AK	40	2040	State House District 40	4.09883E+11	3894277.452	4.80836E+11	85.24368229	9.2082E+11
1	AL	1	1001	State House District 1	538170696.1	163129.6969	691236240.8	77.85626162	1529225956
1	AL	2	1002	State House District 2	997263795	208563.4933	1443365506	69.09294912	2533344084
1	AL	3	1003	State House District 3	900843518.3	206697.3552	1290239140	69.81988768	2778917461
1	AL	4	1004	State House District 4	868630344.1	286155.8463	1376098653	63.12267962	2541902652
1	AL	5	1005	State House District 5	615601705.6	143783.7814	743863078.3	82.75739495	1193495158
1	AL	6	1006	State House District 6	399023516.6	185282.7457	677618596.5	58.88615199	1144868956
1	AL	7	1007	State House District 7	2004146866	332397.12	2752687025	72.8069282	4350893752
1	AL	8	1008	State House District 8	215614725.2	102942.6834	250569464.8	86.04988057	538700956.4
1	AL	9	1009	State House District 9	978096471.7	302178.7619	1623949027	60.2295057	3062859526
